"Model","N","Corr","Miss","Outcome_Type","STE_Panel","STE_Bench"
"Unweighted_ADAS",260,"Real","MCAR","ADAS",-0.0814238075651974,-0.828822823074601
"Unweighted_ADAS",260,"Real","MAR","ADAS",-0.0767566721182689,-0.76669535943342
"Unweighted_ADAS",260,"Real","MNAR","ADAS",-0.0727398521101689,-0.762063605192618
"Unweighted_ADAS",260,"Moderate","MCAR","ADAS",-0.0666738643583587,-0.736608697204804
"Unweighted_ADAS",260,"Moderate","MAR","ADAS",-0.0662079186633117,-0.767924060876258
"Unweighted_ADAS",260,"Moderate","MNAR","ADAS",-0.0668061417857731,-0.760055779551572
"Unweighted_ADAS",260,"Strong","MCAR","ADAS",-0.0666344028017635,-0.727324294422584
"Unweighted_ADAS",260,"Strong","MAR","ADAS",-0.0698272275473245,-0.743078820998064
"Unweighted_ADAS",260,"Strong","MNAR","ADAS",-0.0668269214068621,-0.751823800993535
"Unweighted_ADAS",530,"Real","MCAR","ADAS",-0.0535619087109789,-0.533640910912394
"Unweighted_ADAS",530,"Real","MAR","ADAS",-0.0555304476373136,-0.552934478784543
"Unweighted_ADAS",530,"Real","MNAR","ADAS",-0.0509632442869462,-0.523232088770132
"Unweighted_ADAS",530,"Moderate","MCAR","ADAS",-0.0467191423464833,-0.521237761329489
"Unweighted_ADAS",530,"Moderate","MAR","ADAS",-0.0470735176698763,-0.536987014627818
"Unweighted_ADAS",530,"Moderate","MNAR","ADAS",-0.0472287364511338,-0.532240896848482
"Unweighted_ADAS",530,"Strong","MCAR","ADAS",-0.0476975600687333,-0.504378504942611
"Unweighted_ADAS",530,"Strong","MAR","ADAS",-0.0475149611505688,-0.507289521665017
"Unweighted_ADAS",530,"Strong","MNAR","ADAS",-0.0473021288283731,-0.515847107106066
"Unweighted_ADAS",1072,"Real","MCAR","ADAS",-0.0386746894038711,-0.401086376051774
"Unweighted_ADAS",1072,"Real","MAR","ADAS",-0.0390204584437545,-0.380507448112373
"Unweighted_ADAS",1072,"Real","MNAR","ADAS",-0.0374280362581391,-0.368643583033787
"Unweighted_ADAS",1072,"Moderate","MCAR","ADAS",-0.0329371868118951,-0.369413040920159
"Unweighted_ADAS",1072,"Moderate","MAR","ADAS",-0.0326495290285673,-0.381779512708131
"Unweighted_ADAS",1072,"Moderate","MNAR","ADAS",-0.0325323779334877,-0.368700539227146
"Unweighted_ADAS",1072,"Strong","MCAR","ADAS",-0.0337462617608063,-0.37283897606244
"Unweighted_ADAS",1072,"Strong","MAR","ADAS",-0.0326895459031395,-0.364523280173694
"Unweighted_ADAS",1072,"Strong","MNAR","ADAS",-0.0331518960122399,-0.360447154592364
"Unweighted_MMSE",260,"Real","MCAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Real","MAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Real","MNAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Moderate","MCAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Moderate","MAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Moderate","MNAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Strong","MCAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Strong","MAR","MMSE",NA,NA
"Unweighted_MMSE",260,"Strong","MNAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Real","MCAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Real","MAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Real","MNAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Moderate","MCAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Moderate","MAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Moderate","MNAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Strong","MCAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Strong","MAR","MMSE",NA,NA
"Unweighted_MMSE",530,"Strong","MNAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Real","MCAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Real","MAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Real","MNAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Moderate","MCAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Moderate","MAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Moderate","MNAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Strong","MCAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Strong","MAR","MMSE",NA,NA
"Unweighted_MMSE",1072,"Strong","MNAR","MMSE",NA,NA
"Weighted_ADAS",260,"Real","MCAR","ADAS",-0.0770114627902414,-0.788228322482667
"Weighted_ADAS",260,"Real","MAR","ADAS",-0.0794920703688656,-0.781191937765875
"Weighted_ADAS",260,"Real","MNAR","ADAS",-0.0770958715938738,-0.745468782767972
"Weighted_ADAS",260,"Moderate","MCAR","ADAS",-0.0730857331976617,-0.766707242499361
"Weighted_ADAS",260,"Moderate","MAR","ADAS",-0.073028010064904,-0.771820957686673
"Weighted_ADAS",260,"Moderate","MNAR","ADAS",-0.0688906960549812,-0.766281412264035
"Weighted_ADAS",260,"Strong","MCAR","ADAS",-0.0681494517299387,-0.757233275597987
"Weighted_ADAS",260,"Strong","MAR","ADAS",-0.069411377722204,-0.715994187107801
"Weighted_ADAS",260,"Strong","MNAR","ADAS",-0.0719840164952239,-0.74589502926665
"Weighted_ADAS",530,"Real","MCAR","ADAS",-0.0542622849040609,-0.542699285976827
"Weighted_ADAS",530,"Real","MAR","ADAS",-0.054749917086331,-0.554866779974524
"Weighted_ADAS",530,"Real","MNAR","ADAS",-0.0541224490164452,-0.542732937514127
"Weighted_ADAS",530,"Moderate","MCAR","ADAS",-0.0504638067718723,-0.54181652213829
"Weighted_ADAS",530,"Moderate","MAR","ADAS",-0.0508055926824551,-0.522590100432243
