N,Corr,Miss,SNR_Bench,Power_Bench %,SNR_Weight,Power_Weighted %
260,Real,MCAR,1.818536874,44.37520441,2.703187005,77.1315765
260,Real,MAR,1.846414208,45.47830752,2.716698152,77.5384639
260,Real,MNAR,1.823424886,44.56833243,2.74046068,78.24401183
260,Moderate,MCAR,1.843071055,45.34581803,2.695904776,76.91056747
260,Moderate,MAR,1.828449344,44.76698585,2.736245309,78.11979209
260,Moderate,MNAR,1.827593207,44.73312709,2.730942203,77.96294048
260,Strong,MCAR,1.797556385,43.54782637,2.697538535,76.9602541
260,Strong,MAR,1.856314652,45.87095272,2.688189112,76.67510849
260,Strong,MNAR,1.844456801,45.40072911,2.718967173,77.6063903
530,Real,MCAR,2.215775941,60.09380738,2.786890444,79.58504199
530,Real,MAR,2.236470997,60.89068334,2.80040298,79.96587605
530,Real,MNAR,2.243018909,61.1418829,2.812536171,80.30417138
530,Moderate,MCAR,2.234144664,60.80132744,2.794714212,79.80606811
530,Moderate,MAR,2.226723748,60.51590661,2.77983531,79.38450005
530,Moderate,MNAR,2.248596176,61.35547887,2.796768881,79.86387538
530,Strong,MCAR,2.227008269,60.52686029,2.780279327,79.39715556
530,Strong,MAR,2.216820579,60.13413584,2.782860335,79.47062894
530,Strong,MNAR,2.231929766,60.71619884,2.787061888,79.58990078
1072,Real,MCAR,2.550776789,72.26650056,2.85088386,81.35042601
1072,Real,MAR,2.514082285,71.02387335,2.83007736,80.78709354
1072,Real,MNAR,2.543303726,72.01555726,2.847635891,81.26316795
1072,Moderate,MCAR,2.529368047,71.54468017,2.823702983,80.61244628
1072,Moderate,MAR,2.547050162,72.14149911,2.84026952,81.06433399
1072,Moderate,MNAR,2.533327355,71.67884665,2.837240645,80.98220281
1072,Strong,MCAR,2.530436228,71.5809068,2.834202565,80.89960252
1072,Strong,MAR,2.519031064,71.19297399,2.848594706,81.28895313
1072,Strong,MNAR,2.528026229,71.49914211,2.841830089,81.10656513
